Code	Area	Population	Median Income
0	City of Chicago	3171548	53006
1	Rogers Park	18673	70509
2	West Ridge	58894	66244
3	Uptown	42631	57187
4	Lincoln Square	10842	73815
5	North Center	30493	85888
6	Lake View	70833	99930
7	Lincoln Park	63234	110867
8	Near North Side	88548	107254
9	Edison Park	11093	95200
10	Norwood Park	43886	73727
11	Jefferson Park	25407	67884
12	Forest Glen	7846	94247
13	North Park	25637	59363
14	Albany Park	48511	59415
15	Portage Park	71092	60511
16	Irving Park	49458	61368
17	Dunning	45905	59568
18	Montclare	90229	46154
19	Belmont Cragin	80699	43990
20	Hermosa	20870	39505
21	Avondale	34431	52543
22	Logan Square	60290	60808
23	Humboldt Park	81061	35426
24	West Town	121500	76782
25	Austin	110395	32849
26	West Garfield Park	27582	24790
27	East Garfield Park	34249	29267
28	Near West Side	74850	87647
29	North Lawndale	43821	29399
30	South Lawndale	111504	31735
31	Lower West Side	77885	37333
32	Loop	27615	98139
33	Near South Side	28072	92736
34	Armour Square	8188	26262
35	Douglas	19187	26890
36	Oakland	11281	32654
37	Fuller Park	8272	39578
38	Grand Boulevard	30627	26121
39	Kenwood	14801	43399
40	Washington Park	17771	23199
41	Hyde Park	26965	48663
42	Woodlawn	32798	27887
43	South Shore	50827	28636
44	Chatham	29443	37228
45	Avalon Park	10001	42154
46	South Chicago	45815	33836
47	Burnside	3586	35545
48	Calumet Heights	16171	47360
49	Roseland	50423	38974
50	Pullman	6751	38370
51	South Deering	114159	41691
52	East Side	40095	44978
53	West Pullman	29456	37455
54	Riverdale	7101	39536
55	Hegewisch	14828	58859
56	Garfield Ridge	48788	66489
57	Archer Heights	19343	45601
58	Brighton Park	42250	41187
59	McKinley Park	19971	41432
60	Bridgeport	57541	34499
61	New City	58889	30441
62	West Elsdon	19955	51036
63	Gage Park	42165	41900
64	Clearing	36988	59315
65	West Lawn	29822	52063
66	Chicago Lawn	63328	35864
67	West Englewood	42414	29521
68	Englewood	42969	23412
69	Greater Grand Crossing	47851	28148
70	Ashburn	41571	53855
71	Auburn Gresham	56533	33231
72	Beverly	28783	92557
73	Washington Heights	32375	48671
74	Mount Greenwood	38794	79435
75	Morgan Park	28748	62729
76	O'Hare	5894	55247
77	Edgewater	39994	65848
